"","id","GDPINH_2016"
"647","DK0",48800
"648","DK01",63500
"649","DK011",69400
"650","DK012",77200
"651","DK013",40000
"652","DK014",35000
"653","DK02",33700
"654","DK021",35200
"655","DK022",33100
"656","DK03",44600
"657","DK031",38300
"658","DK032",48900
"659","DK04",45300
"660","DK041",48200
"661","DK042",43900
"662","DK05",41600
"663","DK050",41600
"664","EE",16700
"665","EE0",16700
"666","EE00",16700
"667","EE001",24600
"668","EE004",10900
"669","EE006",9100
"670","EE007",8500
"671","EE008",11600
"672","EL",16200
"673","EL3",21900
"674","EL30",21900
"675","EL301",26000
"676","EL302",11300
"677","EL303",31500
"678","EL304",18500
"679","EL305",17700
"680","EL306",21700
"681","EL307",18100
"682","EL4",14400
"683","EL41",12100
"684","EL411",12200
"685","EL412",12300
"686","EL413",11900
"687","EL42",17400
"688","EL421",15400
"689","EL422",20700
"690","EL43",13600
"691","EL431",13100
"692","EL432",15400
"693","EL433",13000
"694","EL434",14000
"695","EL5",12500
"696","EL51",11300
"697","EL511",12100
"698","EL512",9500
"699","EL513",10500
"700","EL514",10400
"701","EL515",13100
"702","EL52",12600
"703","EL521",11000
"704","EL522",13600
"705","EL523",11500
"706","EL524",11400
"707","EL525",10800
"708","EL526",9900
"709","EL527",13200
"710","EL53",15800
"711","EL531",16700
"712","EL532",10500
"713","EL533",17800
"714","EL54",11600
"715","EL541",11500
"716","EL542",11700
"717","EL543",11600
"718","EL6",13100
"719","EL61",12100
"720","EL611",10400
"721","EL612",13500
"722","EL613",12300
"723","EL62",14700
"724","EL621",17200
"725","EL622",14500
"726","EL623",14400
"727","EL624",12000
"728","EL63",11700
"729","EL631",11400
"730","EL632",12600
"731","EL633",10600
"732","EL64",14600
"733","EL641",22100
"734","EL642",13000
"735","EL643",9800
"736","EL644",12800
"737","EL645",10600
"738","EL65",13700
"739","EL651",16000
"740","EL652",13400
"741","EL653",12100
"742","ES",24000
"743","ES1",21400
"744","ES11",21500
"745","ES111",22400
"746","ES112",22300
"747","ES113",20300
"748","ES114",20600
"749","ES12",20900
"750","ES120",20900
"751","ES13",21900
"752","ES130",21900
"753","ES2",28900
"754","ES21",31000
"755","ES211",34600
"756","ES212",30800
"757","ES213",30100
"758","ES22",29400
"759","ES220",29400
"760","ES23",25600
